"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1728","Check displaying of dashboard page","LMS system","Tue Jun 23 17:12:01 UTC 2026","passed","Tue Jun 23 17:12:03 UTC 2026","Dashboard","Dashboard","",""
"","1761","Navigation from login page to registration page","LMS system","Tue Jun 23 17:11:52 UTC 2026","passed","Tue Jun 23 17:11:54 UTC 2026","Authorization","Authentication","",""
"","2830","Create course","LMS system","Tue Jun 23 17:11:57 UTC 2026","passed","Tue Jun 23 17:12:00 UTC 2026","Courses","Courses","",""
"","1653","Check displaying of empty courses list","LMS system","Tue Jun 23 17:11:56 UTC 2026","passed","Tue Jun 23 17:11:57 UTC 2026","Courses","Courses","",""
"","2017","User login with wrong email or password","LMS system","Tue Jun 23 17:11:48 UTC 2026","passed","Tue Jun 23 17:11:50 UTC 2026","Authorization","Authentication","",""
"","1954","User login with wrong email or password","LMS system","Tue Jun 23 17:11:48 UTC 2026","passed","Tue Jun 23 17:11:49 UTC 2026","Authorization","Authentication","",""
"","3148","Edit course","LMS system","Tue Jun 23 17:11:58 UTC 2026","passed","Tue Jun 23 17:12:01 UTC 2026","Courses","Courses","",""
"","2009","Registration with correct email, username and password","LMS system","Tue Jun 23 17:11:54 UTC 2026","passed","Tue Jun 23 17:11:56 UTC 2026","Registration","Authentication","",""
"","3261","User login with correct email and password","LMS system","Tue Jun 23 17:11:50 UTC 2026","passed","Tue Jun 23 17:11:53 UTC 2026","Authorization","Authentication","",""
"","1759","User login with wrong email or password","LMS system","Tue Jun 23 17:11:50 UTC 2026","passed","Tue Jun 23 17:11:52 UTC 2026","Authorization","Authentication","",""
