"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2037","Navigation from login page to registration page","LMS system","2026-06-16","passed","2026-06-16","Authorization","Authentication","",""
"","2575","User login with correct email and password","LMS system","2026-06-16","passed","2026-06-16","Authorization","Authentication","",""
"","1849","Check displaying of dashboard page","LMS system","2026-06-16","passed","2026-06-16","Dashboard","Dashboard","",""
"","2258","Create course","LMS system","2026-06-16","passed","2026-06-16","Courses","Courses","",""
"","2403","Edit course","LMS system","2026-06-16","passed","2026-06-16","Courses","Courses","",""
"","2276","Registration with correct email, username and password","LMS system","2026-06-16","passed","2026-06-16","Registration","Authentication","",""
"","1908","User login with wrong email or password","LMS system","2026-06-16","passed","2026-06-16","Authorization","Authentication","",""
"","4087","User login with wrong email or password","LMS system","2026-06-16","passed","2026-06-16","Authorization","Authentication","",""
"","1921","Check displaying of empty courses list","LMS system","2026-06-16","passed","2026-06-16","Courses","Courses","",""
"","1991","User login with wrong email or password","LMS system","2026-06-16","passed","2026-06-16","Authorization","Authentication","",""
